Actividad económica,cod_municipio,cod_provincia,geocode,municipio,num_casos,Periodo,provincia,Sexo
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S004,Adeje,20.0,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S005,Adeje,17.0,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S005,Adeje,36.0,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S006,Adeje,12.0,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S006,Adeje,23.0,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S007,Adeje,3.0,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S007,Adeje,15.0,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S008,Adeje,3.0,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S008,Adeje,4.0,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S009,Adeje,3.0,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S009,Adeje,4.0,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S010,Adeje,4.0,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S010,Adeje,5.0,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S011,Adeje,12.0,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S011,Adeje,31.0,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S012,Adeje,2.0,2022,Santa Cruz de Tenerife,Mujeres
