año,MEDIDAS_CODE,MEDIDAS#es,TERRITORIO_CODE,distrito,seccion,municipio,OBS_VALUE
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38009_D01_S004,1,4, Breña Baja,41990.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38010_D01_S001,1,1, Buenavista del Norte,32951.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38010_D01_S002,1,2, Buenavista del Norte,23505.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38010_D01_S003,1,3, Buenavista del Norte,28946.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38010_D01_S004,1,4, Buenavista del Norte,28846.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38011_D01_S001,1,1, Candelaria,38638.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38011_D01_S002,1,2, Candelaria,43426.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38011_D01_S003,1,3, Candelaria,39758.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38011_D01_S004,1,4, Candelaria,32140.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38011_D01_S005,1,5, Candelaria,40070.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38011_D01_S006,1,6, Candelaria,35160.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38011_D01_S007,1,7, Candelaria,36867.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38011_D01_S008,1,8, Candelaria,34582.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38011_D01_S009,1,9, Candelaria,41997.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38011_D01_S010,1,10, Candelaria,32031.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38011_D01_S011,1,11, Candelaria,38822.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38011_D01_S012,1,12, Candelaria,38776.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38011_D02_S001,2,1, Candelaria,43981.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38011_D02_S002,2,2, Candelaria,49924.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38011_D02_S003,2,3, Candelaria,37218.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38011_D02_S004,2,4, Candelaria,37310.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38011_D02_S005,2,5, Candelaria,66816.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38012_D01_S001,1,1, Fasnia,34743.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38012_D01_S002,1,2, Fasnia,29732.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38013_D01_S001,1,1, Frontera,34775.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38013_D01_S002,1,2, Frontera,32854.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38014_D01_S001,1,1, Fuencaliente de La Palma,28100.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38014_D01_S002,1,2, Fuencaliente de La Palma,24127.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38015_D01_S001,1,1, Garachico,35074.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38015_D01_S002,1,2, Garachico,38955.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38015_D02_S001,2,1, Garachico,30770.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38015_D02_S002,2,2, Garachico,25036.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38016_D01_S001,1,1, Garafía,20676.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S001,1,1, Granadilla de Abona,36715.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S002,1,2, Granadilla de Abona,34971.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S003,1,3, Granadilla de Abona,27142.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S004,1,4, Granadilla de Abona,28682.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S005,1,5, Granadilla de Abona,30065.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S006,1,6, Granadilla de Abona,30284.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S007,1,7, Granadilla de Abona,29397.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S008,1,8, Granadilla de Abona,27982.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S009,1,9, Granadilla de Abona,34143.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S010,1,10, Granadilla de Abona,28124.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S011,1,11, Granadilla de Abona,28594.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S012,1,12, Granadilla de Abona,35015.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S013,1,13, Granadilla de Abona,26965.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S014,1,14, Granadilla de Abona,32331.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S015,1,15, Granadilla de Abona,25110.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S016,1,16, Granadilla de Abona,36158.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S017,1,17, Granadilla de Abona,33134.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S018,1,18, Granadilla de Abona,46703.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S019,1,19, Granadilla de Abona,27752.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S020,1,20, Granadilla de Abona,27522.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S021,1,21, Granadilla de Abona,26330.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S022,1,22, Granadilla de Abona,34470.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S023,1,23, Granadilla de Abona,26498.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S024,1,24, Granadilla de Abona,26584.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S025,1,25, Granadilla de Abona,25582.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S026,1,26, Granadilla de Abona,
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38018_D01_S001,1,1, La Guancha,32587.0
