Sexo,Nacionalidad,Nivel de estudios en curso,Periodo,Total,Municipio_clean,ISLA_clean
Hombres,Española,Educación primaria e inferior,2023,0,El Tanque,Tenerife
Hombres,Extranjera,Educación primaria e inferior,2023,0,El Tanque,Tenerife
Hombres,Extranjera,Educación primaria e inferior,2023,0,Tijarafe,La Palma
Hombres,Española,Educación primaria e inferior,2023,0,Valle Gran Rey,La Gomera
Hombres,Extranjera,Educación primaria e inferior,2023,0,Valle Gran Rey,La Gomera
Hombres,Extranjera,Educación primaria e inferior,2023,0,Vallehermoso,La Gomera
Hombres,Española,Educación primaria e inferior,2023,0,Vilaflor De Chasna,Tenerife
Hombres,Extranjera,Educación primaria e inferior,2023,0,Vilaflor De Chasna,Tenerife
Hombres,Española,Educación primaria e inferior,2023,0,Villa De Mazo,La Palma
Hombres,Española,Educación primaria e inferior,2023,0,El Pinar De El Hierro,El Hierro
Hombres,Extranjera,Educación primaria e inferior,2022,0,Agaete,Gran Canaria
Hombres,Española,Educación primaria e inferior,2022,0,Artenara,Gran Canaria
Hombres,Extranjera,Educación primaria e inferior,2022,0,Artenara,Gran Canaria
Hombres,Española,Educación primaria e inferior,2022,0,Betancuria,Fuerteventura
Hombres,Extranjera,Educación primaria e inferior,2022,0,Betancuria,Fuerteventura
Hombres,Extranjera,Educación primaria e inferior,2022,0,Firgas,Gran Canaria
Hombres,Extranjera,Educación primaria e inferior,2022,0,Moya,Gran Canaria
Hombres,Extranjera,Educación primaria e inferior,2022,0,La Aldea De San Nicolás,Gran Canaria
Hombres,Extranjera,Educación primaria e inferior,2022,0,Tejeda,Gran Canaria
Hombres,Extranjera,Educación primaria e inferior,2022,0,Tías,Lanzarote
Hombres,Extranjera,Educación primaria e inferior,2022,0,Valsequillo De Gran Canaria,Gran Canaria
Hombres,Extranjera,Educación primaria e inferior,2022,0,Valleseco,Gran Canaria
Hombres,Extranjera,Educación primaria e inferior,2022,0,Vega De San Mateo,Gran Canaria
Hombres,Extranjera,Educación primaria e inferior,2022,0,Agulo,La Gomera
Hombres,Española,Educación primaria e inferior,2022,0,Alajeró,La Gomera
Hombres,Extranjera,Educación primaria e inferior,2022,0,Alajeró,La Gomera
Hombres,Española,Educación primaria e inferior,2022,0,Arafo,Tenerife
Hombres,Extranjera,Educación primaria e inferior,2022,0,Arafo,Tenerife
Hombres,Extranjera,Educación primaria e inferior,2022,0,Arico,Tenerife
Hombres,Extranjera,Educación primaria e inferior,2022,0,Barlovento,La Palma
Hombres,Española,Educación primaria e inferior,2022,0,Breña Alta,La Palma
Hombres,Extranjera,Educación primaria e inferior,2022,0,Breña Alta,La Palma
Hombres,Extranjera,Educación primaria e inferior,2022,0,Buenavista Del Norte,Tenerife
Hombres,Extranjera,Educación primaria e inferior,2022,0,Fasnia,Tenerife
Hombres,Extranjera,Educación primaria e inferior,2022,0,Frontera,El Hierro
Hombres,Extranjera,Educación primaria e inferior,2022,0,Fuencaliente De La Palma,La Palma
Hombres,Extranjera,Educación primaria e inferior,2022,0,Garachico,Tenerife
Hombres,Española,Educación primaria e inferior,2022,0,Garafía,La Palma
Hombres,Extranjera,Educación primaria e inferior,2022,0,Garafía,La Palma
Hombres,Extranjera,Educación primaria e inferior,2022,0,La Guancha,Tenerife
Hombres,Española,Educación primaria e inferior,2022,0,Hermigua,La Gomera
Hombres,Extranjera,Educación primaria e inferior,2022,0,Hermigua,La Gomera
Hombres,Extranjera,Educación primaria e inferior,2022,0,Icod De Los Vinos,Tenerife
Hombres,Extranjera,Educación primaria e inferior,2022,0,La Matanza De Acentejo,Tenerife
Hombres,Extranjera,Educación primaria e inferior,2022,0,La Orotava,Tenerife
Hombres,Extranjera,Educación primaria e inferior,2022,0,El Paso,La Palma
Hombres,Extranjera,Educación primaria e inferior,2022,0,Puerto De La Cruz,Tenerife
Hombres,Española,Educación primaria e inferior,2022,0,Puntagorda,La Palma
Hombres,Extranjera,Educación primaria e inferior,2022,0,Puntagorda,La Palma
Hombres,Española,Educación primaria e inferior,2022,0,Puntallana,La Palma
Hombres,Extranjera,Educación primaria e inferior,2022,0,Puntallana,La Palma
Hombres,Extranjera,Educación primaria e inferior,2022,0,San Andrés Y Sauces,La Palma
Hombres,Española,Educación primaria e inferior,2022,0,San Juan De La Rambla,Tenerife
Hombres,Extranjera,Educación primaria e inferior,2022,0,San Juan De La Rambla,Tenerife
Hombres,Extranjera,Educación primaria e inferior,2022,0,San Sebastián De La Gomera,La Gomera
Hombres,Extranjera,Educación primaria e inferior,2022,0,Santa Úrsula,Tenerife
Hombres,Extranjera,Educación primaria e inferior,2022,0,Los Silos,Tenerife
Hombres,Extranjera,Educación primaria e inferior,2022,0,El Tanque,Tenerife
Hombres,Extranjera,Educación primaria e inferior,2022,0,Tegueste,Tenerife
