TERRITORIO	TIME_PERIOD	MEDIDAS	OBS_VALUE	ESTADO_OBSERVACION	CONFIDENCIALIDAD_OBSERVACION
Gran Canaria	2023	Distribución de la renta P80/P20	2.6		
Gran Canaria	2022	Distribución de la renta P80/P20	2.7		
Gran Canaria	2021	Distribución de la renta P80/P20	2.8		
Gran Canaria	2020	Distribución de la renta P80/P20	2.8		
Gran Canaria	2019	Distribución de la renta P80/P20	2.8		
Gran Canaria	2018	Distribución de la renta P80/P20	2.8		
Gran Canaria	2017	Distribución de la renta P80/P20	3		
Gran Canaria	2016	Distribución de la renta P80/P20	3.2		
Gran Canaria	2015	Distribución de la renta P80/P20	3.1		
Agaete	2023	Índice de Gini	27.9		
Agaete	2022	Índice de Gini	28.8		
Agaete	2021	Índice de Gini	29.5		
Agaete	2020	Índice de Gini	29.9		
Agaete	2019	Índice de Gini	30.1		
Agaete	2018	Índice de Gini	30.3		
Agaete	2017	Índice de Gini	30.9		
Agaete	2016	Índice de Gini	33.2		
Agaete	2015	Índice de Gini	32.9		
Agaete	2023	Distribución de la renta P80/P20	2.4		
Agaete	2022	Distribución de la renta P80/P20	2.4		
Agaete	2021	Distribución de la renta P80/P20	2.6		
Agaete	2020	Distribución de la renta P80/P20	2.5		
Agaete	2019	Distribución de la renta P80/P20	2.7		
Agaete	2018	Distribución de la renta P80/P20	2.5		
Agaete	2017	Distribución de la renta P80/P20	2.7		
Agaete	2016	Distribución de la renta P80/P20	2.7		
Agaete	2015	Distribución de la renta P80/P20	2.6		
Agüimes	2023	Índice de Gini	27.1		
Agüimes	2022	Índice de Gini	28		
Agüimes	2021	Índice de Gini	28.6		
Agüimes	2020	Índice de Gini	29.4		
Agüimes	2019	Índice de Gini	28.2		
Agüimes	2018	Índice de Gini	28.9		
Agüimes	2017	Índice de Gini	29.5		
Agüimes	2016	Índice de Gini	30.5		
Agüimes	2015	Índice de Gini	31.2		
Agüimes	2023	Distribución de la renta P80/P20	2.3		
Agüimes	2022	Distribución de la renta P80/P20	2.3		
Agüimes	2021	Distribución de la renta P80/P20	2.5		
Agüimes	2020	Distribución de la renta P80/P20	2.5		
Agüimes	2019	Distribución de la renta P80/P20	2.4		
Agüimes	2018	Distribución de la renta P80/P20	2.4		
Agüimes	2017	Distribución de la renta P80/P20	2.6		
Agüimes	2016	Distribución de la renta P80/P20	2.7		
Agüimes	2015	Distribución de la renta P80/P20	2.6		
Artenara	2023	Índice de Gini	26.6		
Artenara	2022	Índice de Gini	28.4		
Artenara	2021	Índice de Gini	29		
Artenara	2020	Índice de Gini	27.7		
Artenara	2019	Índice de Gini	27		
Artenara	2018	Índice de Gini	27.6		
Artenara	2017	Índice de Gini	28.3		
Artenara	2016	Índice de Gini	29.4		
Artenara	2015	Índice de Gini	29		
Artenara	2023	Distribución de la renta P80/P20	2.2		
Artenara	2022	Distribución de la renta P80/P20	2.4		
Artenara	2021	Distribución de la renta P80/P20	2.7		
Artenara	2020	Distribución de la renta P80/P20	2.4		
Artenara	2019	Distribución de la renta P80/P20	2.4		
Artenara	2018	Distribución de la renta P80/P20	2.5		
Artenara	2017	Distribución de la renta P80/P20	2.5		
Artenara	2016	Distribución de la renta P80/P20	2.7		
Artenara	2015	Distribución de la renta P80/P20	2.6		
Arucas	2023	Índice de Gini	27.9		
Arucas	2022	Índice de Gini	28.8		
Arucas	2021	Índice de Gini	29.2		
Arucas	2020	Índice de Gini	29.6		
Arucas	2019	Índice de Gini	29.6		
Arucas	2018	Índice de Gini	30.2		
Arucas	2017	Índice de Gini	30.7		
Arucas	2016	Índice de Gini	32.1		
Arucas	2015	Índice de Gini	32.6		
Arucas	2023	Distribución de la renta P80/P20	2.5		
Arucas	2022	Distribución de la renta P80/P20	2.5		
Arucas	2021	Distribución de la renta P80/P20	2.5		
Arucas	2020	Distribución de la renta P80/P20	2.6		
Arucas	2019	Distribución de la renta P80/P20	2.6		
Arucas	2018	Distribución de la renta P80/P20	2.6		
Arucas	2017	Distribución de la renta P80/P20	2.7		
Arucas	2016	Distribución de la renta P80/P20	2.9		
Arucas	2015	Distribución de la renta P80/P20	2.8		
Firgas	2023	Índice de Gini	26.5		
Firgas	2022	Índice de Gini	27.8		
Firgas	2021	Índice de Gini	27.8		
Firgas	2020	Índice de Gini	28.3		
Firgas	2019	Índice de Gini	28.2		
Firgas	2018	Índice de Gini	29.3		
Firgas	2017	Índice de Gini	30.2		
Firgas	2016	Índice de Gini	31.2		
Firgas	2015	Índice de Gini	31.9		
Firgas	2023	Distribución de la renta P80/P20	2.3		
Firgas	2022	Distribución de la renta P80/P20	2.4		
Firgas	2021	Distribución de la renta P80/P20	2.5		
Firgas	2020	Distribución de la renta P80/P20	2.5		
Firgas	2019	Distribución de la renta P80/P20	2.4		
Firgas	2018	Distribución de la renta P80/P20	2.5		
Firgas	2017	Distribución de la renta P80/P20	2.6		
Firgas	2016	Distribución de la renta P80/P20	2.8		
Firgas	2015	Distribución de la renta P80/P20	2.7		
Gáldar	2023	Índice de Gini	27.6		
Gáldar	2022	Índice de Gini	28.1		
Gáldar	2021	Índice de Gini	28		
Gáldar	2020	Índice de Gini	28.6		
Gáldar	2019	Índice de Gini	28.9		
Gáldar	2018	Índice de Gini	29.4		
Gáldar	2017	Índice de Gini	29.8		
Gáldar	2016	Índice de Gini	30.9		
Gáldar	2015	Índice de Gini	31.5		
Gáldar	2023	Distribución de la renta P80/P20	2.3		
Gáldar	2022	Distribución de la renta P80/P20	2.5		
Gáldar	2021	Distribución de la renta P80/P20	2.4		
Gáldar	2020	Distribución de la renta P80/P20	2.3		
Gáldar	2019	Distribución de la renta P80/P20	2.3		
Gáldar	2018	Distribución de la renta P80/P20	2.4		
Gáldar	2017	Distribución de la renta P80/P20	2.5		
Gáldar	2016	Distribución de la renta P80/P20	2.6		
Gáldar	2015	Distribución de la renta P80/P20	2.5		
Ingenio	2023	Índice de Gini	25.9		
Ingenio	2022	Índice de Gini	26.6		
Ingenio	2021	Índice de Gini	27.5		
Ingenio	2020	Índice de Gini	27.8		
Ingenio	2019	Índice de Gini	27.4		
Ingenio	2018	Índice de Gini	28		
Ingenio	2017	Índice de Gini	28		
Ingenio	2016	Índice de Gini	29		
Ingenio	2015	Índice de Gini	29.9		
Ingenio	2023	Distribución de la renta P80/P20	2.2		
Ingenio	2022	Distribución de la renta P80/P20	2.2		
Ingenio	2021	Distribución de la renta P80/P20	2.3		
Ingenio	2020	Distribución de la renta P80/P20	2.4		
Ingenio	2019	Distribución de la renta P80/P20	2.3		
Ingenio	2018	Distribución de la renta P80/P20	2.4		
Ingenio	2017	Distribución de la renta P80/P20	2.5		
Ingenio	2016	Distribución de la renta P80/P20	2.4		
Ingenio	2015	Distribución de la renta P80/P20	2.5		
Mogán	2023	Índice de Gini	31.1		
Mogán	2022	Índice de Gini	31.7		
Mogán	2021	Índice de Gini	32.8		
Mogán	2020	Índice de Gini	32.2		
Mogán	2019	Índice de Gini	31.3		
Mogán	2018	Índice de Gini	32		
Mogán	2017	Índice de Gini	32.2		
Mogán	2016	Índice de Gini	34.7		
Mogán	2015	Índice de Gini	34.7		
Mogán	2023	Distribución de la renta P80/P20	2.6		
Mogán	2022	Distribución de la renta P80/P20	2.6		
Mogán	2021	Distribución de la renta P80/P20	2.7		
Mogán	2020	Distribución de la renta P80/P20	2.6		
Mogán	2019	Distribución de la renta P80/P20	2.6		
Mogán	2018	Distribución de la renta P80/P20	2.7		
Mogán	2017	Distribución de la renta P80/P20	2.6		
Mogán	2016	Distribución de la renta P80/P20	3		
Mogán	2015	Distribución de la renta P80/P20	3		
Moya	2023	Índice de Gini	30.1		
Moya	2022	Índice de Gini	30.8		
Moya	2021	Índice de Gini	30.5		
Moya	2020	Índice de Gini	30.7		
Moya	2019	Índice de Gini	30.9		
Moya	2018	Índice de Gini	30.7		
Moya	2017	Índice de Gini	31.4		
Moya	2016	Índice de Gini	32.3		
Moya	2015	Índice de Gini	32.2		
Moya	2023	Distribución de la renta P80/P20	2.5		
Moya	2022	Distribución de la renta P80/P20	2.6		
Moya	2021	Distribución de la renta P80/P20	2.5		
Moya	2020	Distribución de la renta P80/P20	2.5		
Moya	2019	Distribución de la renta P80/P20	2.5		
Moya	2018	Distribución de la renta P80/P20	2.6		
Moya	2017	Distribución de la renta P80/P20	2.7		
Moya	2016	Distribución de la renta P80/P20	2.9		
Moya	2015	Distribución de la renta P80/P20	2.8		
Las Palmas de Gran Canaria	2023	Índice de Gini	34.2		
Las Palmas de Gran Canaria	2022	Índice de Gini	34.8		
Las Palmas de Gran Canaria	2021	Índice de Gini	35		
Las Palmas de Gran Canaria	2020	Índice de Gini	35.8		
Las Palmas de Gran Canaria	2019	Índice de Gini	35.9		
Las Palmas de Gran Canaria	2018	Índice de Gini	36.5		
Las Palmas de Gran Canaria	2017	Índice de Gini	37		
Las Palmas de Gran Canaria	2016	Índice de Gini	38.1		
Las Palmas de Gran Canaria	2015	Índice de Gini	38.5		
Las Palmas de Gran Canaria	2023	Distribución de la renta P80/P20	2.9		
Las Palmas de Gran Canaria	2022	Distribución de la renta P80/P20	3.1		
Las Palmas de Gran Canaria	2021	Distribución de la renta P80/P20	3.2		
Las Palmas de Gran Canaria	2020	Distribución de la renta P80/P20	3		
Las Palmas de Gran Canaria	2019	Distribución de la renta P80/P20	3		
Las Palmas de Gran Canaria	2018	Distribución de la renta P80/P20	3.2		
Las Palmas de Gran Canaria	2017	Distribución de la renta P80/P20	3.3		
Las Palmas de Gran Canaria	2016	Distribución de la renta P80/P20	3.5		
Las Palmas de Gran Canaria	2015	Distribución de la renta P80/P20	3.5		
San Bartolomé de Tirajana	2023	Índice de Gini	32.7		
San Bartolomé de Tirajana	2022	Índice de Gini	33.3		
San Bartolomé de Tirajana	2021	Índice de Gini	34.6		
San Bartolomé de Tirajana	2020	Índice de Gini	34.1		
San Bartolomé de Tirajana	2019	Índice de Gini	33.5		
San Bartolomé de Tirajana	2018	Índice de Gini	34.1		
San Bartolomé de Tirajana	2017	Índice de Gini	34.7		
San Bartolomé de Tirajana	2016	Índice de Gini	36.3		
San Bartolomé de Tirajana	2015	Índice de Gini	36.2		
San Bartolomé de Tirajana	2023	Distribución de la renta P80/P20	2.6		
San Bartolomé de Tirajana	2022	Distribución de la renta P80/P20	2.6		
San Bartolomé de Tirajana	2021	Distribución de la renta P80/P20	2.8		
San Bartolomé de Tirajana	2020	Distribución de la renta P80/P20	2.9		
San Bartolomé de Tirajana	2019	Distribución de la renta P80/P20	2.8		
San Bartolomé de Tirajana	2018	Distribución de la renta P80/P20	3		
San Bartolomé de Tirajana	2017	Distribución de la renta P80/P20	2.8		
